session,date_site,site,SVC_date,SVC_surveyor,SVC_dive_start,SVC_dive_end,SVC_sample_start,SVC_sample_end,SVC_total_sample_time,SVC_cylinder_rad,SVC_cylinder_area,SVC_temp_f,SVC_current,SVC_vis_ft,SVC_habitat,SVC_max_depth,SVC_min_depth,SVC_stat_depth,max_hard_relief,max_soft_relief,Sub < .2m,Sub .2-.5m,Sub .5-1m,Sub 1-1.5m,Sub > 1.5m,sand,hard-bottom,Rubble,Algae (<1cm),Algae (>1cm),sponge,octocoral,stony,other,period,species,SVC_abundance,SVC_mean_tl,SVC_min_tl,SVC_max_tl
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,white grunt,69,10,7,21
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,striped parrotfish,15,6,4,25
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,threespot damselfish,2,7.5,7,8
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,yellowtail snapper,2,11.5,10,13
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,redband parrotfish,4,10,4,12
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,stoplight parrotfish,4,15,5,35
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,cocoa damselfish,1,7,7,7
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,blue tang,1,10,10,10
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,bluestriped grunt,1,13,13,13
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,2,juvenile hamlet,1,6,6,6
