session,species,var,SVC_tl,SVC_abundance
141,threespot damselfish,1,7,1
141,yellowtail snapper,1,10,1
141,redband parrotfish,1,4,1
141,stoplight parrotfish,1,5,1
141,white grunt,1,7,1
141,striped parrotfish,1,4,1
141,white grunt,2,8.5,16.25
141,striped parrotfish,2,5,2.75
141,cocoa damselfish,3,7,1
141,blue tang,3,10,1
141,bluestriped grunt,3,13,1
141,juvenile hamlet,3,6,1
141,butter hamlet,3,12,1
141,trumpetfish,3,50,1
141,foureye butterflyfish,3,8,1
141,redband parrotfish,3,10,2
141,stoplight parrotfish,3,15,2
141,white grunt,3,10,34.5
141,striped parrotfish,3,6,7.5
141,white grunt,4,15.5,16.25
141,striped parrotfish,4,15.5,2.75
141,threespot damselfish,5,8,1
141,yellowtail snapper,5,13,1
141,redband parrotfish,5,12,1
141,stoplight parrotfish,5,35,1
141,white grunt,5,21,1
141,striped parrotfish,5,25,1
142,trumpetfish,1,45,1
142,bluehead wrasse,1,5,1
142,redband parrotfish,1,4,1
142,yellowtail snapper,1,12,1
142,bluehead wrasse,2,7,0.75
142,redband parrotfish,2,6,0.5
142,yellowtail snapper,2,13.5,2.75
142,bicolor damselfish,3,8,1
142,threespot damselfish,3,7,1
142,white grunt,3,24,1
142,sergeant major,3,12,1
142,stoplight parrotfish,3,8,1
142,sharpnose puffer,3,4,1
142,bar jack,3,7,1
142,striped parrotfish,3,8,1
142,bluehead wrasse,3,9,3.5
142,redband parrotfish,3,8,3
142,yellowtail snapper,3,15,7.5
142,bluehead wrasse,4,10.5,0.75
142,redband parrotfish,4,10,0.5
142,yellowtail snapper,4,16.5,2.75
142,trumpetfish,5,50,1
142,bluehead wrasse,5,12,1
142,redband parrotfish,5,12,1
142,yellowtail snapper,5,18,1
143,clown wrasse,1,7,1
143,foureye butterflyfish,1,10,1
143,slender filefish,1,3,1
143,greenblotch parrotfish,1,4,1
143,bluehead wrasse,1,3,1
143,redband parrotfish,1,3,1
143,yellowhead wrasse,1,5,1
143,slippery dick,1,4,1
143,bicolor damselfish,1,3,1
143,bluehead wrasse,2,5,2.5
143,redband parrotfish,2,7,3
143,yellowhead wrasse,2,6,0.5
143,slippery dick,2,5,0.5
143,bicolor damselfish,2,3.5,1.5
143,smooth trunkfish,3,20,1
143,white grunt,3,16,1
143,ocean surgeonfish,3,10,1
143,graysby,3,16,1
143,sharpnose puffer,3,4,1
143,lantern bass,3,5,1
143,greenblotch parrotfish,3,5,2
143,bluehead wrasse,3,7,7
143,redband parrotfish,3,11,8
143,yellowhead wrasse,3,7,3
143,slippery dick,3,6,3
143,bicolor damselfish,3,4,5
143,bluehead wrasse,4,9,2.5
143,redband parrotfish,4,15,3
143,yellowhead wrasse,4,8,0.5
143,slippery dick,4,7,0.5
143,bicolor damselfish,4,5.5,1.5
143,clown wrasse,5,10,1
143,foureye butterflyfish,5,12,1
143,slender filefish,5,5,1
143,greenblotch parrotfish,5,7,1
143,bluehead wrasse,5,11,1
143,redband parrotfish,5,19,1
143,yellowhead wrasse,5,9,1
143,slippery dick,5,8,1
143,bicolor damselfish,5,7,1
144,yellowhead wrasse,1,5,1
144,ocean surgeonfish,1,12,1
144,spotted goatfish,1,25,1
144,scrawled filefish,1,30,1
144,blue tang,1,15,1
144,reef butterflyfish,1,7,1
144,bicolor damselfish,1,3,1
144,blue chromis,1,7,1
144,bluehead wrasse,1,4,1
144,princess parrotfish,1,15,1
144,striped parrotfish,1,5,1
144,masked goby,1,2,1
144,bicolor damselfish,2,4.5,9
144,blue chromis,2,7.5,0.5
144,bluehead wrasse,2,6.5,1.25
144,princess parrotfish,2,20,0.25
144,striped parrotfish,2,6.5,1.25
144,masked goby,2,3,11.5
144,harlequin bass,3,8,1
144,blue parrotfish,3,50,1
144,graysby,3,15,1
144,rock beauty,3,11,1
144,white grunt,3,28,1
144,cocoa damselfish,3,9,1
144,sharpnose puffer,3,5,1
144,yellowtail parrotfish,3,38,1
144,brown chromis,3,9,1
144,orangespotted filefish,3,60,1
144,redband parrotfish,3,20,1
144,foureye butterflyfish,3,8,1
144,spanish hogfish,3,15,1
144,stoplight parrotfish,3,37,1
144,greenblotch parrotfish,3,6,1
144,cero,3,35,1
144,clown wrasse,3,7,1
144,blue tang,3,22,1
144,reef butterflyfish,3,8,2
144,bicolor damselfish,3,6,20
144,blue chromis,3,8,3
144,bluehead wrasse,3,9,4.5
144,princess parrotfish,3,25,2.5
144,striped parrotfish,3,8,4.5
144,masked goby,3,4,25
144,bicolor damselfish,4,7,9
144,blue chromis,4,9.5,0.5
144,bluehead wrasse,4,10.5,1.25
144,princess parrotfish,4,32.5,0.25
144,striped parrotfish,4,10,1.25
144,masked goby,4,5,11.5
144,yellowhead wrasse,5,10,1
144,ocean surgeonfish,5,15,1
144,spotted goatfish,5,25,1
144,scrawled filefish,5,34,1
144,blue tang,5,22,1
144,reef butterflyfish,5,12,1
144,bicolor damselfish,5,8,1
144,blue chromis,5,11,1
144,bluehead wrasse,5,12,1
144,princess parrotfish,5,40,1
144,striped parrotfish,5,12,1
144,masked goby,5,6,1
145,cocoa damselfish,1,7,1
145,gray snapper,1,22,1
145,trumpetfish,1,35,1
145,bar jack,1,7,1
145,yellowhead wrasse,1,7,1
145,bluehead wrasse,1,7,1
145,striped parrotfish,1,3,1
145,bluehead wrasse,2,7.5,1
145,striped parrotfish,2,4,5.25
145,yellowtail snapper,3,13,1
145,white grunt,3,15,1
145,slippery dick,3,6,1
145,blue tang,3,13,1
145,redband parrotfish,3,12,1
145,stoplight parrotfish,3,12,1
145,townsend angelfish,3,13,1
145,banded butterflyfish,3,10,1
145,bluestriped grunt,3,19,1
145,puddingwife,3,5,1
145,yellowhead wrasse,3,7,1
145,bluehead wrasse,3,8,4
145,striped parrotfish,3,5,12.5
145,bluehead wrasse,4,9.5,1
145,striped parrotfish,4,7,5.25
145,cocoa damselfish,5,8,1
145,gray snapper,5,25,1
145,trumpetfish,5,40,1
145,bar jack,5,10,1
145,yellowhead wrasse,5,9,1
145,bluehead wrasse,5,11,1
145,striped parrotfish,5,9,1
146,white grunt,1,15,1
146,blue tang,1,15,1
146,atlantic spadefish,1,28,1
146,bluestriped grunt,1,16,1
146,bicolor damselfish,1,3,1
146,bluehead wrasse,1,5,1
146,redband parrotfish,1,3,1
146,stoplight parrotfish,1,3,1
146,striped parrotfish,1,3,1
146,yellow chub,1,29,1
146,yellowtail snapper,1,10,1
146,bar jack,1,7,1
146,masked goby,1,2,1
146,bluehead wrasse,2,6,2
146,redband parrotfish,2,3.5,1.25
146,stoplight parrotfish,2,3.5,0.25
146,striped parrotfish,2,4,4
146,yellow chub,2,30.5,2.25
146,yellowtail snapper,2,10,2.25
146,bar jack,2,8,1.25
146,masked goby,2,2.5,1.5
146,slippery dick,3,9,1
146,spotted moray,3,80,1
146,harlequin bass,3,6,1
146,gray snapper,3,29,1
146,ocean surgeonfish,3,13,1
146,queen angelfish,3,20,1
146,beaugregory,3,4,1
146,french angelfish,3,34,1
146,gray angelfish,3,30,1
146,blue parrotfish,3,6,1
146,goldspot goby,3,5,1
146,reef butterflyfish,3,9,1
146,doctorfish,3,11,1
146,yellowhead wrasse,3,15,1
146,bluestriped grunt,3,20,1
146,bicolor damselfish,3,5,1
146,bluehead wrasse,3,7,6
146,redband parrotfish,3,4,4.5
