order,family,binomial,common_name,cryptic and schooling?,lifestage,predator_presence,present in predator surveys?,Vulnerability rank,Red List category,recorded in diet?,Endemic?,Range size (sq. km),depth upper,depth lower,depth range,cleaner score,nocturnal,structured habitat?,structured habitat (binary)?,soft bottom?,soft bottom (binary)?,bottom score,estuary?,estuary (binary)?,seagrass?,seagrass (binary)?,mangrove?,mangrove (binary)?,rocky reef?,rocky reef (binary)?,coral?,coral (binary)?,total habitats,habitat score,position,position score,behavior,max_length,measure,length_source,length score,ratio (REEF interns1),ratio (REEF interns2),ratio (REEF interns3),ratio avg (REEF),ratio (Green and Cote 2014),ratio adult (Christi),final ratio,ratio score,cryptic_colouration,cryptic colouration notes,conspicuous_colouration,conspicuous colouration notes,colouration reference,colouration_count,colouration_cont,colouration_cat1,colouration_cat2,colouration_cat3,cryptic_behaviour,cryptic behaviour notes,conspicuous behaviour,conspicuous behaviour notes,behaviour reference,florida commonality,commonality reference,FishBase Probability of Occurrence in Florida Region,Notes on FishBase Probability of Occurrence,trophic_position,Trophic Position Source,Trophic Level,Trophic Notes (from FishBase),shape
Anguilliformes,Muraenidae,Enchelycore nigricans,viper moray,0,adult,0,0,4,LC,no,no,4199980,0,60,60,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,100,TL,,0,7.6,10.3,NA,9,NA,NA,9,1,0,,0,,FishBase,0,0,none,camouflage,camouflage,1,benthic and solitary,0,,FishBase,NA,,0.8-1,abundant throughout,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/2792),4.5,BASED ON CLOSEST RELATIVES,anguilliform
Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,0,adult,1,1,5,LC,no,no,3443135,0,50,50,1,1,yes,1,yes,1,2,yes,1,no,0,yes,1,yes,1,yes,1,4,1,demersal,1,solitary,250,TL,,0,10.9,8.3,9,9.4,NA,11.4,10.4,1,0,,0,,FishBase,0,0,none,neutral,neutral,1,benthic and solitary; hide during day,0,,FishBase; Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=151&menuentry=soorten),occasional ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=151&menuentry=soorten),0.8-1,abundant throughout ,carnivore,,4,Feeds mainly at night on fish and crustaceans,anguilliform
Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,0,adult,1,1,3,LC,no,no,3920959,0,60,60,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,benthic,0,solitary,70,TL,,0,9.8,10.6,NA,10.2,10.8,NA,10.8,1,0,,1,dots and some yellow,FishBase,1,1,conspicuous,neutral pattern,neutral,1,benthic and solitary; takes refuge during day,0,,FishBase; Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=152&menuentry=soorten),uncommon,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=152&menuentry=soorten),0.01-1,more common near tip,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/2797),3.9,,anguilliform
Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,0,adult,1,1,3,LC,no,no,4174508,0,200,200,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,benthic,0,solitary,200,TL,,0,12.4,14.1,12,12.8,NA,NA,12.8,1,0,,1,pattern,FishBase,1,1,conspicuous,camouflage,camouflage,1,benthic and solitary; found in holes,0,,FishBase,occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=153&menuentry=soorten),0.8-1,abundant throughout,carnivore,,4.5,Feeds on fish and crustaceans,anguilliform
Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,0,adult,1,1,4,LC,no,no,4380016,0,150,150,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,122,TL,,0,9.8,10.1,9.5,9.8,NA,NA,9.8,1,0,,0,,FishBase,0,0,none,neutral,neutral,1,"solitary, benthic, and most active at night",0,,FishBase,NA,,0.8-1,abundant throughout ,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/2803),4.3,,anguilliform
Anguilliformes,Ophichthidae,Myrichthys breviceps,sharptail eel,0,adult,1,0,3,LC,no,no,3431000,0,10,10,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,benthic,0,solitary,102,TL,,0,14.2,19.3,NA,16.7,NA,NA,16.7,1,0,,1,spots,FishBase,1,1,conspicuous,neutral pattern,neutral,1,look for shelter and can bury in sand,0,,Sazima and Sazima 2004 (https://aqua-aquapress.com/wp-content/uploads/2017/02/AQUA81.pdf#page=3),occasional to uncommon,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=155&menuentry=soorten),0-1,common nearshore at tip,invertivore,,3.5,Feeds mainly on crabs.,anguilliform
Atheriniformes,Atherinopsidae,Menidia peninsulae,silverside,0,adult,0,0,,,,,,,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,0,,demersal,,schooling,18.3,TL,,,,,,,,,,,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,,,,,,,,planktivore,"Lucas, J.R. 1982. Feeding Ecology of the Gulf Silverside, Menidia peninsulae, near Crystal River, Florida, with Notes on Its Life History. Estuaries, 5(2):138-144.",3.2,BASED ON CLOSEST RELATIVES,elongated
Beryciformes,Holocentridae,Holocentrus adscensionis,squirrelfish,0,adult,0,0,5,LC,yes,no,4857809,0,180,180,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,60.8,TL,,0,2.9,2.9,2.8,2.9,4.3,4,3.7,1,0,,0,,FishBase,0,0,none,camouflage,neutral,1,"""A nocturnal species, hiding in deep crevices or under coral ledges during the day""",0,,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=259&menuentry=soorten),0.8-1,abundant throughout,invertivore,,3.1,taking mainly crabs and other small crustaceans,fusiform
Beryciformes,Holocentridae,Holocentrus rufus,longspine squirrelfish,0,adult,0,0,5,LC,yes,no,3977826,1,32,31,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,35,TL,,0,2.2,2.9,3,2.7,4.4,4.2,3.8,1,0,,0,,FishBase,0,0,none,camouflage,neutral,1,nocturnal,0,,FishBase,NA,,0.01-1,more common near tip,invertivore,,3.5,"feed on crabs, shrimps, gastropods and brittle stars ",fusiform
Beryciformes,Holocentridae,Myripristis jacobus,blackbar soldierfish,0,adult,0,0,5,LC,yes,no,4506712,1,100,99,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,25,TL,FishBase,0,3.9,2.8,2.8,3.2,3.5,3.4,3.4,1,0,,0,has bar but silvering,FishBase,0,0,none,camouflage,neutral,1,"""Hide between corals and in caves during daytime""",0,,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=261&menuentry=soorten),common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=261&menuentry=soorten),0.8-1,common throughout,planktivore,,3.4,Feeds mainly on planktonic organisms,fusiform
