session,prey_transect_id_prey,species,prey_tl
141,9806,gray angelfish,7
141,9806,queen angelfish,14
141,9806,beaugregory,3
141,9806,bridled goby,5
141,9806,colon goby,5
141,9806,goldspot goby,6
141,9806,goldspot goby,6
141,9806,masked goby,4
141,9806,masked goby,4
141,9806,masked goby,3
141,9806,masked goby,3
141,9806,masked goby,3
141,9806,bluestriped grunt,21
141,9806,bluestriped grunt,8
141,9806,bluestriped grunt,8
141,9806,bluestriped grunt,8
141,9806,white grunt,9
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,16
141,9806,white grunt,15
141,9806,white grunt,13
141,9806,white grunt,12
141,9806,white grunt,12
141,9806,white grunt,12
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,7
141,9806,white grunt,6
141,9806,white grunt,6
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,white grunt,8
141,9806,butter hamlet,7
141,9806,butter hamlet,8
141,9806,butter hamlet,9
141,9806,spotted moray,60
141,9806,spotted moray,80
141,9806,redband parrotfish,10
141,9806,redband parrotfish,6
141,9806,redband parrotfish,5
141,9806,redband parrotfish,6
141,9806,redband parrotfish,11
141,9806,redband parrotfish,4
141,9806,redband parrotfish,3
141,9806,redband parrotfish,3
141,9806,redband parrotfish,8
141,9806,stoplight parrotfish,8
141,9806,stoplight parrotfish,6
141,9806,stoplight parrotfish,12
141,9806,stoplight parrotfish,5
141,9806,striped parrotfish,8
141,9806,striped parrotfish,8
141,9806,striped parrotfish,4
141,9806,striped parrotfish,4
141,9806,striped parrotfish,4
141,9806,striped parrotfish,5
141,9806,striped parrotfish,4
141,9806,striped parrotfish,12
141,9806,striped parrotfish,10
141,9806,striped parrotfish,3
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,8
141,9806,yellowtail snapper,6
141,9806,yellowtail snapper,7
141,9806,slippery dick,11
141,9806,slippery dick,13
141,9806,sand diver,30
141,9807,blue angelfish,18
141,9807,beaugregory,3
141,9807,dusky damselfish,6
141,9807,threespot damselfish,8
141,9807,goldspot goby,5
141,9807,masked goby,3
141,9807,masked goby,3
141,9807,masked goby,3
141,9807,masked goby,3
141,9807,masked goby,3
141,9807,bluestriped grunt,7
141,9807,bluestriped grunt,28
141,9807,white grunt,7
141,9807,white grunt,7
141,9807,white grunt,7
141,9807,white grunt,7
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,5
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,19
141,9807,white grunt,19
141,9807,white grunt,19
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
141,9807,white grunt,8
